PropertyLocation,LandValue,CENTER_LAT,CENTER_LON,Location 1
9900 WILSHIRE BLVD  BEVERLY HILLS CA  90210,453900000,34.06579297,-118.4146598,"(34.06579297, -118.41465983)"
3000 W ALAMEDA AVE  BURBANK CA  91523,284288196,34.15446589,-118.3333274,"(34.15446589, -118.33332744)"
1801 AVENUE OF THE STARS  LOS ANGELES CA  90067,231662372,34.05879769,-118.4189882,"(34.05879769, -118.41898821)"
468 N RODEO DR  BEVERLY HILLS CA  90210,204000000,34.07064933,-118.4038879,"(34.07064933, -118.40388793)"
,197809383,33.97571564,-118.4264603,"(33.97571564, -118.42646027)"
,173767137,33.95262775,-118.3378126,"(33.95262775, -118.33781262)"
10960 WILSHIRE BLVD  LOS ANGELES CA  90024,167776984,34.05755722,-118.4461677,"(34.05755722, -118.44616768)"
100 UNIVERSAL CITY PLAZA  LOS ANGELES CA  91608,163195685,34.14138121,-118.3566005,"(34.14138121, -118.35660051)"
,160546973,33.9772336,-118.4091857,"(33.9772336, -118.40918565)"
4000 WARNER BLVD  BURBANK CA  91522,154124037,34.14818025,-118.3384941,"(34.14818025, -118.33849414)"
2025 AVENUE OF THE STARS  LOS ANGELES CA  90067,151621853,34.0574006,-118.4158968,"(34.0574006, -118.41589675)"
3900 LANKERSHIM BLVD  LOS ANGELES CA  90068,146606542,34.13805004,-118.3475482,"(34.13805004, -118.34754817)"
10201 W PICO BLVD  LOS ANGELES CA  90064,145339049,34.0518344,-118.4125891,"(34.0518344, -118.41258914)"
12746 W JEFFERSON BLVD  LOS ANGELES CA  90094,143945482,33.97671562,-118.4170372,"(33.97671562, -118.41703717)"
1815 HAWTHORNE BLVD  REDONDO BEACH CA  90278,138737340,33.87142125,-118.3547048,"(33.87142125, -118.3547048)"
12121 W BLUFF CREEK DRIVE  LOS ANGELES CA  90094,137957040,33.97866361,-118.4057781,"(33.97866361, -118.40577813)"
2121 AVENUE OF THE STARS  LOS ANGELES CA  90067,135027173,34.05480519,-118.4137007,"(34.05480519, -118.41370074)"
400 N RODEO DR  BEVERLY HILLS CA  90210,132056723,34.06953587,-118.4027841,"(34.06953587, -118.40278407)"
3351 LA CIENEGA PL  LOS ANGELES CA  90016,129069423,34.02779338,-118.3732507,"(34.02779338, -118.37325068)"
